Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
579--Waste; Parings And Scrap; Of Plastics,24957551,19534835,18787193,20067427,45654708,17582663,14220560,17188846,17462566,8334458,11591001,14363687,12317999,5684975,4788378
575--Plastics,412979531,438654846,516856444,558279463,598793583,629117170,682432432,555313674,757778670,815625586,923783641,926525006,1087057918,1007602938,942331083
574--Polyacetals and Epoxide Resins,60552839,72435363,78706039,90685390,115429209,155587356,179949850,99573837,148061931,140216303,157939279,167275537,189880492,212397266,216169335
573--Polymers Of Vinyl Chloride,50971100,74254831,110683790,147259458,141263288,124928368,115632466,69259658,96114135,117579597,105850336,116139282,123450138,120642808,115156511
572--Polymers Of Styrene,15321277,19364863,18605639,30086848,34198457,22548526,21112466,14367829,14650421,14914102,18661427,22936401,29276789,34240253,31509136
571--Polymers Of Ethylene,22482110,26474616,36568256,41182449,42438730,51027445,52559167,35119516,62077753,59980693,69602002,66273582,97546770,78005354,67228131
562--Fertilizers (Except Crude),35349267,32849406,44650707,48095791,61720104,59471446,83780328,68100106,49344470,94834941,89889164,96631550,71633310,84528831,76072712
554--Soap; Cleansing And Polishing Preparations,70176992,76772334,82305755,84348409,89599206,98813656,113187099,102761921,129142566,141921688,146437464,160724786,172917762,155669192,143275880
553--Perfumery; Cosmetics Or Toilet Preparations; Exce,131664835,169568163,190199827,182638935,168960979,199515916,232450761,205408080,236780426,281031342,266342541,303758957,287011734,331128271,352661341
551--Essential Oils; Perfume And Flavor Materials,21655969,23456724,20676661,23074803,22727208,26225218,35246719,29947607,46250572,62930472,46438166,55527547,60239331,55937933,64357710
542--Medicaments (Including Veterinary Medicaments),2136293675,2672256086,3248169691,3371404424,4351250298,5964726461,5098548725,6013113486,6073142589,7306254625,9317047862,9449435324,11609315946,11889884191,10076862011
541--Medicinal Products; Except Medicaments,1067219829,1429870218,1775083210,1952790879,2323397237,2333988158,3856302597,2421070792,1442983794,1557203956,1705579052,1801104399,2590621661,2852241804,3441602689
533--Pigments; Paints; Varnishes And Related Materials,254052536,283365198,250848957,279593549,290636241,294783041,286074555,229163326,297235926,339341173,359916810,422568184,408322442,354771328,346247476
532--Dyeing & Tanning Extracts,2460040,2261802,2662072,2272735,1941622,2160866,3465997,2041882,3075615,2675048,3635064,2592159,1795709,2382351,3394031
531--Synthetic Organic Coloring Matter,187677306,188585379,184013572,174369453,158909794,145207282,152724689,103215718,153338583,152910283,179360599,143817683,162093959,148978918,145723204
525--Radioactive And Associated Materials,135080854,158280149,226991251,231208169,274133701,430173184,487206167,620199938,416189570,499872202,516464814,376502941,228115705,222383338,310052255
524--Inorganic Chemicals; Precious Metal Compounds,34836866,35931993,62979483,73491922,92569218,107444594,93599895,51863754,64890869,82361786,81365598,66987883,83387904,73474127,78294858
523--Metallic Salts And Peroxysalts Of Inorganic Acids,135132632,117455699,109958470,112305913,117550095,114453107,151319074,131717677,144970060,163124093,200854082,191330138,182252931,178878678,172029312
522--Inorganic Chemical Elements,227093328,235032050,275098021,313278200,367063425,419668207,440310837,334416790,480505202,511256255,415633482,363636297,333622646,344365296,332629383
516--Organic Chemicals,162950093,178094854,208806219,238861431,221500322,208520800,261023710,245371404,307999011,298113054,292150304,305092333,345423741,325678243,283096338
515--Organo-Inorganic & Heterocyclic Compounds,1373219560,955007564,1435684249,1668926652,1341800921,1311019495,1353999323,1195850043,1031428400,1107176491,1353242101,1594230273,1447285143,1245119579,1171008341
514--Nitrogen-Function Compounds,339705792,288767973,278908898,307340971,306147234,335656076,349061081,238910997,311592509,368424565,373940467,391875840,455251978,392763099,416921513
513--Carboxylic Acids; Halides; & Derivatives,128721266,143357581,169840021,182652410,194042187,216754121,253458989,224986372,299277989,314146531,348768395,334006623,386042313,301343788,263547329
512--Alcohols; Phenols & Halogenated Derivatives,164942259,174935959,220646605,282579581,259262786,221650725,277121972,153055455,223316484,229982807,264677362,265960159,332016647,258091986,232867748
511--Hydrocarbons & Specified Derivatives,77399620,127609441,110559163,132737007,153114799,172823331,194469893,120263190,157177214,241162353,213719341,331844302,265877626,187747107,148303429
431--Animal/Vegetable Fats/Oils Preparations,2868825,4317428,5779057,6940243,8351149,6248523,6769105,4391142,3766595,3552244,5670122,9054509,8130869,11250260,8462429
