Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
683--Nickel,-50915078,-32837958,-107651382,-161426417,-180360153,-214231079,-130129676,-45902896,-89286234,-139657707,-134911221,-70326889,-110355163,-108898166,-37499060
682--Copper,-162281946,-154555190,-276570952,-315059491,-500585308,-420807355,-344014823,-232281947,-398970410,-515244741,-508484979,-487227495,-554179565,-480455691,-449881471
681--Silver; Platinum & Other Platinum Group Metals,11356715,55083152,83167740,53259106,-60305011,-73999306,47157140,139274157,229415728,-141735128,208837038,-357884097,-85196855,141967765,-19461744
679--Iron & Steel Tubes; Pipes & Fittings,-225530318,-156345144,-198136035,-394177280,-467654661,-633471061,-992802890,-571432260,-446917081,-614033021,-893695740,-623847213,-754498392,-684279937,-300974505
678--Iron And Steel Wire,-14660029,-10658550,-19927651,-20269676,-19770881,-8628087,-6335191,-4703191,-12492086,-8665545,-17942225,-23880056,-24059373,-28821954,-28712107
677--Iron & Steel Rails & Railway Track Const Material,-5123569,-783093,-969323,-1975416,-1228133,-2832825,-1073484,-3208335,-5281540,-5443287,-4407451,-5449378,-6113741,-1476320,-1003209
676--Iron & Steel Bars; Rods; Angles; Shapes & Section,-109120868,-89556011,-282466558,-313627097,-257660460,-200768695,-279261322,-142239057,-228546040,-325132477,-308655757,-306693110,-391352523,-397819114,-253583310
675--Alloy Steel Flat-Rolled Products,-147935529,-132581070,-224146673,-250961591,-244376863,-297361088,-185580141,-89211701,-147987402,-329277299,-200219152,-166047007,-221797474,-187980808,-232708232
674--Iron & Natural Steel Flat-Rolled Products,-62159491,-84056891,-91990178,-113698966,-133016519,-176438261,-125986793,-63056390,-97132083,-79908529,-118414217,-115350522,-144460982,-220864778,-188187766
673--Iron & Nonalloy Steel Flat-Roll Products,-51041799,-55610090,-66981228,-20838804,-102396709,-37189405,-59839481,-32645466,-155999968,-102685268,-214577465,-194913874,-131227577,-209444727,-173225768
672--Iron Or Steel & Semifinish Products,-85141369,-71590711,-82434494,-104875885,-53382742,-54473660,-63717065,1569787,-173333147,-77632613,-81126726,-12255612,-28154077,-24038381,-7511638
671--Pig Iron and Iron & Steel Powder,-19351685,-11319274,-23241684,-14584031,-16934155,-13067164,-37467465,-22580445,-38381041,-50613616,-29656345,-20736791,-24646118,-18436734,-23843121
667--Pearls; Precious & Semiprecious Stones,-17011911,-22595819,-25169336,-25889072,-36401606,-23872187,-33582541,-19628285,-26194559,-25623140,-20664277,-7859684,1950291,-8154340,-10394193
666--Pottery,-49763118,-51484353,-47757729,-49793197,-43803718,-42732071,-33962055,-24788147,-25869831,-26170022,-24575238,-27334059,-29063985,-27730873,-24630034
665--Glassware,-69084580,-90302014,-73790488,-95434290,-129946104,-152768752,-154310967,-126131129,-123670863,-116516451,-146127530,-157567287,-145596160,-151412250,-138878234
664--Glass,10734347,29734787,21731284,41512730,61281976,129271088,125101687,33425637,89533048,196699583,160617858,203401294,133542104,255645967,294056778
663--Mineral Manufactures,-127598219,-148701586,-174796387,-187654703,-172607030,-94586367,-72797233,-24323578,43804789,33374461,-58708105,-66572752,26925599,144676279,78221605
662--Clay And Refractory Construction Materials,-22213489,-32579652,-37719158,-33549918,-26620379,-31007531,-27368289,-11441102,-20625700,-34888860,-28432342,-43464175,-36462108,-45914564,-44393904
661--Lime; Cement & Fabricated Construction Materials,-10533969,-14122765,-15465857,-8919571,-11489778,-10463878,-12683701,-5076113,-3862158,-6929663,-3740174,-6922743,-6360318,-3607692,-3382803
659--Floor Coverings,-9738970,-17846742,-19251492,-21194485,-19205931,-14377449,-11212102,-10135181,-14387682,-15345653,-15057397,-14414397,-19893795,-16086028,-19682197
658--Made-Up Articles Of Textile Materials,-16167879,-14763887,-2599799,6866219,5695423,10335973,7794026,26406488,28849120,31474166,19774842,21273601,15542445,20669267,15485010
