Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
724--Textile & Leather Machinery & Pts,31591414,28265257,37164358,33368664,35448530,39853763,34266718,26392926,23785254,26132946,37540149,31444736,31874324,29039846,24132666
696--Cutlery,15569345,10320809,7750891,16154689,20331762,19969044,37580968,47376368,40274525,10695083,7711029,9305409,19016580,21814191,24002331
727--Food-Processing Machines (Excluding Domestic),23768472,20502868,23844625,25318371,21728819,31844946,39327764,23014199,22913265,25222607,20438309,24050275,32401450,19881806,23538404
634--Veneers; Plywood and Particle Board,56844087,71629496,69771865,66323802,73190268,69559731,67579302,41526932,51514561,33162705,34961120,25376117,25405942,23609158,23161483
651--Textile Yarn,35924247,26487926,28125389,30743621,23427863,27001223,29713632,21925187,41564156,29021800,25931717,19433394,24673770,28719207,23122738
831--Trunks; Suitcases; Vanity Cases; and Briefcases,12672971,10059159,10655137,12418337,10841744,21295333,18608294,17637765,14336129,19822633,21616792,23338384,26502549,23701042,23103932
273--Stone; Sand And Gravel,13959420,16341842,16924102,22768042,22319588,23772135,22331694,21275820,41812419,45967496,35256639,29220163,29541919,26505638,22308037
697--Household Equipment Of Base Metal,9130759,14533471,12926507,17748441,20196737,33899676,30224196,35723843,52073641,55521479,56275128,55396110,69331159,42845737,19068701
054--Vegetables; Roots and Tubers; Fresh; Chilled or F,6411334,8908185,8453778,6665837,6227092,12369712,11488990,16681218,18115028,18349530,29657974,17053021,11151331,12774692,17303736
676--Iron & Steel Bars; Rods; Angles; Shapes & Section,10326511,15051184,14492189,12765733,24710233,31712979,41152287,25017647,38137110,53000927,33183160,29003824,21643058,23802772,17124958
211--Hides & Skins; Raw,12782271,13987632,5264818,4342027,10932337,12957461,13990794,6287715,10566368,17143464,10810338,18858212,16507841,11220801,17056357
842--Women/Girls Coats; Not Knit,1553855,2491300,4601414,7872624,7831734,8648678,10198910,10686158,9470066,10684802,12225107,14935123,18268142,19519326,16420703
733--Machine Tools For Working But Not Removing Metal,21879659,23142376,21885498,34389372,73251830,30369608,39267904,20148008,20643102,28872316,23582878,19974842,22378714,31294850,16289765
247--Wood In The Rough,39758636,42602541,40434896,42968210,43124341,56740309,57883813,34393351,40378321,35035691,29684629,24342077,18255676,18632534,15599546
635--Wood Manufactures,12623110,10576799,13173333,9933339,9326314,13272202,17655935,16240839,15202548,17429791,15550393,12739397,17196203,17554834,15452306
873--Meters And Counters,19575510,16572267,13445530,15449521,16368754,20066899,19109203,11197412,11444006,9552207,11017126,13702874,13449218,18709544,15148527
811--Prefabricated Buildings,9175169,6469354,9044155,11785156,8174286,8616554,11238311,14083967,13028899,10903527,12622317,8146710,9636691,6719196,14890477
895--Office And Stationery Supplies,19107795,19755955,24492696,25102935,22999865,28758629,25041981,12720712,15261882,11036368,12287742,14088070,13509337,16378952,14314039
691--Metal Structures & Parts; Iron; Steel; Aluminum,5227316,5126932,7269347,12147439,12633915,16864850,19872788,14726501,17931260,18427168,17985012,18017694,14969608,14985708,14301045
285--Aluminum Ores & Concentrates,13989398,12794404,13392298,18392045,17436251,20844321,26241015,17227800,17434501,24168103,12571141,12743555,16188100,12566290,14097933
071--Coffee And Coffee Substitutes,15387884,20724053,42175520,22893707,55275357,36173226,13694785,5829397,14377186,57565099,21537622,11128475,10719111,9094010,14006379
